                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3103,                 3.7827,                0.90272,                0.00111,                0.04878,                 0.0006,                0.00048,                  1.216,                 4.0031,                0.96195,                  6e-05,                  6e-05,                  6e-05
                      1,                 1.7577,                 3.7029,                0.94037,                0.00222,                0.09756,                0.00168,                0.00138,                 1.2366,                 3.7614,                0.89198,             0.00013723,             0.00013723,             0.00013723
                      2,                 1.5801,                 2.2014,                0.91786,                0.01611,                0.70732,                0.03046,                 0.0127,                 1.2622,                 3.4484,                0.84162,             0.00021129,             0.00021129,             0.00021129
                      3,                 1.6612,                 3.1788,                0.91624,                0.01444,                0.63415,                0.02111,                0.00838,                 1.4799,                 3.3079,                 0.8717,             0.00028218,             0.00028218,             0.00028218
                      4,                 1.6433,                 2.1201,                 0.9111,                0.01444,                0.63415,                0.01923,                0.00751,                 1.3092,                  3.357,                0.86119,              0.0003499,              0.0003499,              0.0003499
                      5,                 1.4413,                 1.6531,                0.88201,                0.01389,                0.60976,                0.01778,                0.00851,                 1.1386,                 3.3611,                0.86271,             0.00041446,             0.00041446,             0.00041446
                      6,                  1.399,                  1.416,                0.96193,                0.01556,                0.68293,                 0.0199,                0.00933,                 1.1726,                 3.2918,                0.85964,             0.00047585,             0.00047585,             0.00047585
                      7,                 1.3523,                 1.2389,                0.89257,                  0.015,                0.65854,                0.02128,                0.01527,                 1.1548,                 3.2188,                0.85974,             0.00053407,             0.00053407,             0.00053407
                      8,                 1.2968,                 1.4342,                0.89041,                0.01111,                 0.4878,                0.01217,                0.00792,                 1.1091,                 3.3152,                0.86514,             0.00058912,             0.00058912,             0.00058912
                      9,                 1.3409,                  1.274,                0.89148,                0.00667,                0.29268,                0.00509,                0.00355,                 1.0475,                 3.3941,                 0.8616,               0.000641,               0.000641,               0.000641
                     10,                 1.2598,                 1.2138,                 0.8661,                0.01389,                0.60976,                0.03196,                0.02298,                 1.1706,                 3.2802,                0.87514,             0.00068972,             0.00068972,             0.00068972
                     11,                 1.2366,                 1.0118,                0.86371,                  0.015,                0.65854,                0.14248,                0.10613,                 1.1519,                 3.0299,                0.86973,             0.00073527,             0.00073527,             0.00073527
                     12,                 1.2277,                0.96129,                 0.8574,                0.03487,                0.58537,                0.41761,                0.31876,                 1.0992,                 2.8931,                0.86237,             0.00077765,             0.00077765,             0.00077765
                     13,                 1.3384,                 1.1651,                0.85878,                0.80838,                0.43902,                0.52262,                0.36243,                 1.1463,                 2.8205,                0.86706,             0.00081686,             0.00081686,             0.00081686
                     14,                  1.445,                 1.0774,                0.88332,                      1,                0.22769,                0.68244,                0.51705,                 1.0736,                 2.6822,                0.86097,              0.0008529,              0.0008529,              0.0008529
