                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.3894,                 1.1507,                0.87714,                      1,                0.23467,                0.69931,                 0.5304,                 1.0359,                 2.5243,                0.85136,             0.00088578,             0.00088578,             0.00088578
                     16,                  1.304,                 1.1163,                0.87137,                      1,                0.43155,                 0.7072,                0.52331,                 1.0623,                 2.4215,                0.85219,             0.00091549,             0.00091549,             0.00091549
                     17,                 1.3131,                 1.0793,                0.86611,                      1,                0.26406,                0.74834,                0.51337,                 1.1254,                 2.1925,                  0.856,             0.00094203,             0.00094203,             0.00094203
                     18,                 1.3187,                  1.039,                0.86384,                      1,                0.35806,                0.77727,                 0.5561,                 1.0531,                 2.0932,                0.85199,              0.0009654,              0.0009654,              0.0009654
                     19,                 1.3551,                 1.1407,                0.87279,                0.96957,                 0.4878,                0.79295,                0.55606,                 1.0717,                 1.9832,                 0.8502,              0.0009856,              0.0009856,              0.0009856
                     20,                 1.3508,                0.91133,                0.87025,                  0.661,                0.60976,                0.58756,                0.41582,                 1.1274,                 1.9088,                0.85559,              0.0010026,              0.0010026,              0.0010026
                     21,                 1.2794,                 1.0023,                0.82631,                0.96751,                0.72634,                0.84689,                0.60383,                 1.1214,                 1.8518,                0.86249,              0.0010165,              0.0010165,              0.0010165
                     22,                 1.2213,                0.89923,                0.85791,                0.93538,                0.73171,                0.83524,                 0.5741,                 1.1332,                 1.7941,                0.86457,              0.0010272,              0.0010272,              0.0010272
                     23,                 1.4281,                 1.2284,                0.85104,                0.93078,                0.65603,                0.81839,                0.56141,                 1.1005,                 1.8127,                0.85848,              0.0010347,              0.0010347,              0.0010347
                     24,                 1.1582,                0.99757,                0.87023,                0.76041,                0.60976,                0.72386,                0.51387,                 1.0986,                 1.9148,                0.85284,              0.0010391,              0.0010391,              0.0010391
                     25,                  1.103,                 0.9835,                0.87893,                0.93527,                0.70494,                0.81765,                0.59221,                 1.0853,                 1.7228,                0.84924,                0.00101,                0.00101,                0.00101
                     26,                 1.1224,                0.87023,                0.84044,                0.88068,                0.72024,                0.82212,                0.61369,                 1.0298,                 1.5107,                0.84915,                0.00101,                0.00101,                0.00101
                     27,                 1.0578,                0.92885,                0.85272,                0.86578,                 0.7561,                0.83663,                0.63193,                 1.0088,                 1.3694,                0.84916,              0.0009704,              0.0009704,              0.0009704
                     28,                  1.164,                0.89259,                0.84621,                0.87727,                 0.7561,                0.84501,                0.62009,                 1.0727,                 1.3958,                0.84818,              0.0009308,              0.0009308,              0.0009308
                     29,                   1.09,                0.83586,                0.84684,                0.86546,                0.78456,                0.86653,                0.62847,                 1.0396,                 1.4165,                 0.8404,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1099,                0.90645,                0.84945,                0.85584,                0.80488,                0.87163,                0.65221,                0.93512,                 1.3623,                0.83198,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0439,                0.88701,                0.83367,                0.88137,                0.82927,                0.90853,                0.65376,                 0.9257,                 1.3659,                0.83077,               0.000812,               0.000812,               0.000812
                     32,                 1.0666,                0.99572,                0.85342,                0.87746,                0.82927,                0.90659,                0.65438,                 1.0291,                 1.4034,                0.84636,              0.0007724,              0.0007724,              0.0007724
                     33,                 0.9895,                0.85523,                0.85319,                0.87416,                0.82927,                0.91376,                 0.6533,                 1.0356,                 1.3219,                0.84613,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.2231,                 1.0673,                0.83019,                0.87485,                0.82927,                0.92233,                0.66541,                 1.0048,                 1.2484,                0.84394,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2026,                0.90947,                0.84059,                0.93155,                0.82927,                0.93727,                0.70117,                0.94902,                 1.1457,                0.83849,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0436,                0.87708,                0.82901,                0.97262,                0.86665,                0.92104,                0.69942,                 0.8983,                 1.0538,                 0.8323,               0.000614,               0.000614,               0.000614
                     37,                 1.0199,                 1.1234,                0.84058,                 0.9733,                0.88928,                0.93877,                0.70859,                0.89266,                 0.9671,                0.83178,              0.0005744,              0.0005744,              0.0005744
                     38,                0.99888,                0.78693,                0.82657,                0.96006,                0.87805,                0.95004,                0.70683,                0.94133,                0.87239,                0.83562,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.009,                0.76496,                0.83174,                0.94801,                 0.8897,                0.95512,                0.69639,                 1.0259,                0.80215,                0.84443,              0.0004952,              0.0004952,              0.0004952
                     40,                0.93829,                0.85525,                0.86256,                0.97341,                0.89308,                0.95665,                0.67926,                 1.0892,                0.80023,                0.85184,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0841,                0.99652,                0.82972,                0.97281,                0.87275,                0.95506,                0.65921,                 1.1171,                0.85001,                0.85377,               0.000416,               0.000416,               0.000416
                     42,                 1.0718,                0.98829,                 0.8192,                 0.9314,                0.87805,                0.95204,                0.65993,                 1.0628,                0.87713,                0.84624,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.197,                 1.0415,                0.84014,                0.92312,                0.87858,                0.94679,                0.66709,                 1.0175,                0.89739,                0.84167,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1021,                 0.8937,                0.83966,                0.94654,                0.86392,                0.94319,                0.67957,                0.99319,                0.88156,                0.83982,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0146,                0.86825,                 0.8408,                0.92218,                0.86719,                0.93962,                0.66922,                 1.0092,                0.86615,                0.84165,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1098,                0.97142,                0.84022,                0.93391,                0.85366,                0.94337,                   0.67,                 1.0095,                0.83888,                0.84262,               0.000218,               0.000218,               0.000218
                     47,                 1.0605,                0.84852,                0.82098,                0.92459,                0.89721,                0.94897,                0.68195,                0.97656,                0.79514,                0.83904,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1597,                   3.19,                0.80614,                0.92392,                0.88879,                0.95366,                0.68495,                 0.9606,                 0.7662,                0.83723,              0.0001388,              0.0001388,              0.0001388
                     49,                0.91946,                0.71338,                0.83258,                 0.9241,                0.89101,                0.95502,                0.69109,                0.94208,                0.74824,                0.83557,               9.92e-05,               9.92e-05,               9.92e-05
